Id,SalePrice
1461,122080.78227294133
1462,168977.16010887758
1463,178922.26299175085
1464,183461.0299171185
1465,197989.38024739234
1466,177518.5346728825
1467,175561.02634750106
1468,170251.58491948582
1469,179441.48201627537
1470,126778.54662324635
1471,200700.5273945707
1472,95259.25721044818
1473,98199.82524195693
1474,154099.43572492508
1475,113280.07813574444
1476,383150.2786800966
1477,253255.36159691922
1478,305514.8342532167
1479,297415.64130710164
1480,520321.5715231073
1481,325260.42573160137
1482,203778.21397988638
1483,178497.1092572263
1484,167711.15666825234
1485,178568.7082649797
1486,191077.73696682203
1487,349244.00733626634
1488,231514.94827237522
1489,195171.44188581983
1490,230148.75717601713
1491,195185.42536150946
1492,92291.44776644045
1493,168183.6131582304
1494,300833.72195950826
1495,285432.35538836126
1496,245874.48748237843
1497,181423.9525377308
1498,164186.820509611
1499,161984.10335083888
1500,155627.03685063115
1501,175954.84162128213
1502,158998.1390578681
1503,303135.3538461146
1504,232588.18500375873
1505,224812.65275454876
1506,180180.40655086093
1507,262079.04604124604
1508,206542.08063594188
1509,159485.59096298358
1510,148074.5323616896
1511,156046.50260526396
1512,174066.9992381437
1513,136966.00272743613
1514,165405.9879621848
1515,185334.49293824914
1516,151274.4809476386
1517,150816.94713745694
1518,133215.46561462164
1519,222853.51253539958
1520,137177.27440218828
1521,137205.18645571903
1522,168921.46137003243
1523,114038.23926493815
1524,121288.42461658089
1525,123100.41040943834
1526,117178.6668204544
1527,108100.56225214155
1528,129925.9551403674
1529,151008.8504357281
1530,171970.42628126752
1531,121024.17731975566
1532,103979.98416633836
1533,146947.8787062151
1534,126656.55694008584
1535,150928.6297526051
1536,110937.80677188632
1537,69983.14488589432
1538,136244.9112803221
1539,181190.34426797632
1540,119921.04934187145
1541,141576.23023614692
1542,141288.97145223696
1543,192715.0825520413
1544,90720.0035817943
1545,115914.09612647034
1546,123650.58027154334
1547,135378.66980617592
1548,130500.30315696643
1549,116760.72323897216
1550,133821.79265710388
1551,109593.22461981811
1552,137595.25309716308
1553,142525.3253884946
1554,115201.96525076333
1555,172504.03149746533
1556,67708.29996057213
1557,94383.4361499406
1558,90277.69253096955
1559,66704.26309235184
1560,135432.80104327807
1561,137260.36013074443
1562,132436.60425431348
1563,122153.55003854002
